Date,Open,High,Low,Close,Volume,Adj Close
2014-01-31,1127.15,1137.97,1124.67,1130.88,40596900,1130.88
2014-01-30,1130.35,1144.54,1130.35,1139.36,35475100,1139.36
2014-01-29,1129.50,1134.18,1119.80,1122.45,39640200,1122.45
2014-01-28,1128.87,1138.24,1128.65,1138.24,34378300,1138.24
2014-01-27,1147.39,1147.43,1121.12,1127.73,40452000,1127.73
2014-01-24,1164.77,1164.77,1141.80,1144.13,46184500,1144.13
2014-01-23,1181.34,1181.34,1166.67,1172.40,39722500,1172.40
2014-01-22,1177.30,1182.04,1175.29,1181.29,33741700,1181.29
2014-01-21,1175.05,1177.11,1168.28,1175.72,37824700,1175.72
2014-01-17,1172.09,1173.37,1166.76,1168.43,36261200,1168.43
2014-01-16,1172.71,1173.13,1168.70,1173.13,34913100,1173.13
2014-01-15,1165.99,1171.97,1165.99,1171.35,37778000,1171.35
2014-01-14,1151.73,1163.43,1151.00,1163.43,33532700,1163.43
2014-01-13,1162.94,1164.12,1142.38,1148.09,35913500,1148.09
2014-01-10,1160.17,1164.53,1154.89,1164.53,33357100,1164.53
2014-01-09,1161.26,1163.88,1152.17,1158.35,35811500,1158.35
2014-01-08,1159.18,1159.37,1151.97,1157.46,36521400,1157.46
2014-01-07,1150.86,1160.02,1150.86,1157.63,35117500,1157.63
2014-01-06,1159.27,1159.85,1146.97,1147.16,32948500,1147.16
2014-01-03,1151.76,1157.76,1151.22,1156.09,27742700,1156.09
2014-01-02,1160.50,1160.50,1146.60,1150.72,30806000,1150.72
2013-12-31,1160.64,1165.64,1160.64,1163.64,23128400,1163.64
2013-12-30,1160.63,1162.60,1158.86,1160.59,22938600,1160.59
2013-12-27,1165.39,1165.85,1157.73,1161.09,20529200,1161.09
2013-12-26,1161.85,1167.96,1161.41,1162.65,19822700,1162.65
2013-12-24,1157.65,1163.67,1157.44,1161.80,13076300,1161.80
2013-12-23,1151.39,1157.34,1151.04,1157.22,28515400,1157.22
2013-12-20,1127.85,1147.12,1127.65,1146.47,50977000,1146.47
2013-12-19,1131.23,1131.67,1124.93,1125.45,34972100,1125.45
2013-12-18,1120.15,1133.76,1112.03,1133.72,43277700,1133.72
2013-12-17,1119.40,1120.26,1112.61,1118.89,32700300,1118.89
2013-12-16,1110.58,1120.17,1110.43,1119.85,32098900,1119.85
2013-12-13,1105.99,1109.51,1100.77,1107.05,30610700,1107.05
2013-12-12,1101.40,1107.18,1099.67,1103.27,33066400,1103.27
2013-12-11,1119.82,1120.92,1099.74,1101.50,34722400,1101.50
2013-12-10,1128.02,1131.26,1119.33,1119.69,31171500,1119.69
2013-12-09,1132.90,1134.18,1126.38,1129.46,31295000,1129.46
2013-12-06,1122.48,1135.88,1122.48,1131.38,31500300,1131.38
2013-12-05,1120.80,1125.61,1119.76,1122.47,33368800,1122.47
2013-12-04,1123.79,1128.97,1111.63,1121.38,36105400,1121.38
2013-12-03,1125.95,1130.97,1119.68,1123.78,34756800,1123.78
2013-12-02,1142.30,1142.30,1127.72,1129.12,30954300,1129.12
2013-11-29,1145.83,1147.00,1142.52,1142.89,15983000,1142.89
2013-11-27,1135.63,1141.50,1134.13,1141.33,26135900,1141.33
2013-11-26,1125.45,1136.24,1124.98,1134.53,34271200,1134.53
2013-11-25,1126.85,1128.52,1123.10,1124.72,29985400,1124.72
2013-11-22,1120.91,1125.64,1117.56,1124.92,30551400,1124.92
2013-11-21,1103.38,1119.67,1103.38,1119.62,32566300,1119.62
2013-11-20,1104.04,1107.70,1096.46,1099.79,31091400,1099.79
2013-11-19,1107.30,1112.39,1097.53,1101.38,32244500,1101.38
2013-11-18,1118.40,1119.98,1105.22,1107.29,31685200,1107.29
2013-11-15,1111.39,1116.31,1109.72,1116.20,32548200,1116.20
2013-11-14,1111.41,1112.22,1105.57,1111.44,31390600,1111.44
2013-11-13,1096.54,1112.22,1095.69,1112.18,33274800,1112.18
2013-11-12,1099.26,1101.52,1095.36,1101.47,32210300,1101.47
2013-11-11,1099.76,1102.86,1096.33,1101.50,25340600,1101.50
2013-11-08,1079.95,1101.19,1079.95,1099.97,38371700,1099.97
2013-11-07,1102.34,1103.77,1079.08,1079.09,40247300,1079.09
2013-11-06,1108.75,1109.83,1097.20,1098.63,33221000,1098.63
2013-11-05,1105.23,1106.09,1097.44,1103.59,35166800,1103.59
2013-11-04,1098.62,1108.86,1098.35,1108.28,31948700,1108.28
2013-11-01,1099.09,1101.30,1087.09,1095.67,36862900,1095.67
2013-10-31,1106.09,1108.60,1097.84,1100.15,38265300,1100.15
2013-10-30,1122.81,1123.26,1104.15,1105.50,35230400,1105.50
2013-10-29,1118.86,1122.64,1114.78,1121.07,33584600,1121.07
2013-10-28,1118.33,1119.56,1113.02,1117.97,32823000,1117.97
2013-10-25,1121.10,1121.92,1114.25,1118.34,31757200,1118.34
2013-10-24,1112.69,1120.00,1111.68,1118.85,36717000,1118.85
2013-10-23,1111.49,1112.09,1105.35,1110.93,37133800,1110.93
2013-10-22,1115.42,1121.53,1111.93,1115.63,38508400,1115.63
2013-10-21,1115.66,1117.32,1110.84,1112.48,30527100,1112.48
2013-10-18,1109.30,1115.04,1105.91,1114.77,36648900,1114.77
2013-10-17,1088.99,1102.28,1088.61,1102.27,34535900,1102.27
